original_cname,mapped_cname
AMS3419,# Dept Store Tr Wo Rat 30 DPD w/in 6 M
AMS3420,# Inst Tr Wo Rat 30 DPD w/in 6 M
AMS3422,# PerFin and StuLoan Tr Wo Rat 30 DPD w/in 6 M
AMS3423,# Retail Tr Wo Rat 30 DPD w/in 6 M
AMS3424,# Rev Tr Wo Rat 30 DPD w/in 6 M
AMS3425,# Sales Finance Tr Wo Rat 30 DPD w/in 6 M
AMS3426,# Tr Wo Rat 60 DPD w/in 6 M
AMS3428,# Bkcrd Tr Wo Rat 60 DPD w/in 6 M
AMS3430,# Dept Store Tr Wo Rat 60 DPD w/in 6 M
AMS3431,# Inst Tr Wo Rat 60 DPD w/in 6 M
AMS3433,# PerFin and StuLoan Tr Wo Rat 60 DPD w/in 6 M
AMS3434,# Retail Tr Wo Rat 60 DPD w/in 6 M
AMS3435,# Rev Tr Wo Rat 60 DPD w/in 6 M
AMS3436,# Sales Finance Tr Wo Rat 60 DPD w/in 6 M
AMS3437,# Tr Wo Rat 90 DPD w/in 6 M
AMS3439,# Bkcrd Tr Wo Rat 90 DPD w/in 6 M
AMS3441,# Dept Store Tr Wo Rat 90 DPD w/in 6 M
AMS3442,# Inst Tr Wo Rat 90 DPD w/in 6 M
AMS3444,# PerFin and StuLoan Tr Wo Rat 90 DPD w/in 6 M
AMS3445,# Retail Tr Wo Rat 90 DPD w/in 6 M
AMS3446,# Rev Tr Wo Rat 90 DPD w/in 6 M
AMS3447,# Sales Finance Tr Wo Rat 90 DPD w/in 6 M
AMS3448,# Tr Wo Rat 120-180 or More DPD w/in 6 M
AMS3450,# Bkcrd Tr Wo Rat 120-180 or More DPD w/in 6 M
AMS3452,# Dept Store Tr Wo Rat 120-180 or More DPD w/in 6 M
AMS3453,# Inst Tr Wo Rat 120-180 or More DPD w/in 6 M
AMS3455,# PerFin and StuLoan Tr Wo Rat 120-180 or More DPD w/in 6 M
AMS3456,# Retail Tr Wo Rat 120-180 or More DPD w/in 6 M
AMS3457,# Rev Tr Wo Rat 120-180 or More DPD w/in 6 M
AMS3458,# Sales Finance Tr Wo Rat 120-180 or More DPD w/in 6 M
AMS3471,# of trades with status satisfactory reported within one month
AMS3472,# of trades with status satisfactory last reported
AMS3473,# of trades with status 30-180 DPD reported within one month
AMS3474,# of trades with status 30-180 DPD last reported
AMS3475,# of trades with status 60-180 DPD reported within one month
AMS3476,# of trades with status 60-180 DPD last reported
AMS3477,# of trades with status 90-180 DPD reported within one month
AMS3478,# of trades with status 90-180 DPD last reported
AMS3479,Worst status rating reported within one month
AMS3480,Worst status rating last reported
AMS3535,# Tr Wo Rat Ever 30 DPD
AMS3536,# Auto Tr Wo Rat Ever 30 DPD
AMS3537,# Bkcrd Tr Wo Rat Ever 30 DPD
AMS3539,# Dept Store Tr Wo Rat Ever 30 DPD
AMS3540,# Inst Tr Wo Rat Ever 30 DPD
AMS3544,# Rev Tr Wo Rat Ever 30 DPD
AMS3545,# Retail Tr Wo Rat Ever 30 DPD
AMS3546,# Tr Wo Rat Ever 60 DPD
AMS3547,# Auto Tr Wo Rat Ever 60 DPD
AMS3548,# Bkcrd Tr Wo Rat Ever 60 DPD
AMS3550,# Dept Store Tr Wo Rat Ever 60 DPD
AMS3551,# Inst Tr Wo Rat Ever 60 DPD
AMS3555,# Rev Tr Wo Rat Ever 60 DPD
AMS3556,# Retail Tr Wo Rat Ever 60 DPD
AMS3557,# Tr Wo Rat Ever 90 DPD
AMS3558,# Auto Tr Wo Rat Ever 90 DPD
AMS3559,# Bkcrd Tr Wo Rat Ever 90 DPD
